QuestionID,Module,CO,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer,Explanation,Active
81,4,CO4,Easy,Higher SNR generally means:,Cleaner communication,More noise,Less signal,More aliasing,A,Correct answer: Cleaner communication.,YES
82,4,CO4,Easy,Multiplexing allows:,Multiple signals to share a communication medium,Only one bit to transmit,Noise to increase,Carrier to disappear,A,Correct answer: Multiple signals to share a communication medium.,YES
83,4,CO4,Easy,FDM separates users by:,Frequency bands,Time slots,Code only,Amplitude levels only,A,Correct answer: Frequency bands.,YES
84,4,CO4,Easy,TDM separates users by:,Time slots,Frequency only,Antenna length,Quantization levels,A,Correct answer: Time slots.,YES
85,4,CO4,Easy,A communication system can be represented by:,"Source, transmitter, channel, receiver, destination","Battery, motor, tyre",Only transmitter,Only antenna,A,"Correct answer: Source, transmitter, channel, receiver, destination.",YES
86,4,CO4,Medium,Attenuation means:,Reduction in signal strength,Increase in signal strength,Frequency doubling,Noise elimination,A,Correct answer: Reduction in signal strength.,YES
87,4,CO4,Medium,Amplifiers are used to:,Increase signal level,Decrease all signals to zero,Sample signals,Encode PCM only,A,Correct answer: Increase signal level.,YES
88,4,CO4,Medium,Repeaters can help:,Regenerate or retransmit signals,Create quantization error,Remove the message,Stop communication,A,Correct answer: Regenerate or retransmit signals.,YES
89,4,CO4,Medium,A filter is used to:,Select desired frequency components,Increase all noise,Change roll number,Store questions,A,Correct answer: Select desired frequency components.,YES
90,4,CO4,Medium,A low-pass filter passes:,Lower frequencies,Only highest frequency,No frequencies,Only noise,A,Correct answer: Lower frequencies.,YES
91,4,CO4,Medium,A band-pass filter passes:,A selected band of frequencies,All frequencies equally,Only DC always,Only quantization noise,A,Correct answer: A selected band of frequencies.,YES
92,4,CO4,Medium,Communication reliability can be improved by:,Appropriate coding and signal processing,Adding uncontrolled noise,Removing the receiver,Reducing all SNR,A,Correct answer: Appropriate coding and signal processing.,YES
93,4,CO4,Medium,Error detection is used to:,Identify transmission errors,Increase carrier power only,Generate FM,Remove antennas,A,Correct answer: Identify transmission errors.,YES
94,4,CO4,Hard,A checksum is a method for:,Error detection,Modulation,Sampling,Demodulation,A,Correct answer: Error detection.,YES
95,4,CO4,Hard,A digital communication system represents information using:,Discrete symbols/bits,Only continuous amplitudes,Only carrier waves,Only noise,A,Correct answer: Discrete symbols/bits.,YES
96,4,CO4,Hard,Latency means:,Delay in communication,Signal amplitude,Noise power,Bandwidth only,A,Correct answer: Delay in communication.,YES
97,4,CO4,Hard,Throughput refers to:,Rate of successfully delivered data,Carrier phase,Antenna size,Quantization error,A,Correct answer: Rate of successfully delivered data.,YES
98,4,CO4,Hard,A good communication system aims for:,Reliable information transfer,Maximum noise,Minimum information,Random distortion,A,Correct answer: Reliable information transfer.,YES
99,4,CO4,Boss,The destination is where:,The information is delivered to the user,The carrier is generated,Sampling starts,Noise is created,A,Correct answer: The information is delivered to the user.,YES
100,4,CO4,Boss,The channel may introduce:,"Noise, attenuation and distortion",Only information,Only perfect signals,Only quantization levels,A,"Correct answer: Noise, attenuation and distortion.",YES
